siret;siren;denomination;enseigne;sigle;naf_code;categorie_chruth;domaine_chruth;sous_categorie;adresse_complete;code_postal;libelle_commune;code_departement;region_nom;region;tranche_effectif_salarie;effectif_code;effectif_label;effectif_nombre;caractere_employeur;categorie_entreprise;nombre_etablissements;date_creation;age_annees;latitude;longitude;est_siege;nature_juridique;liste_finess;liste_uai;_naf_recherche;_timestamp;signal_besoin;priorite;ca_estime_eur;marge_estimee_eur
48026601400137;480266014;VYV3 ILE-DE-FRANCE;HOPITAL SAINTE MARIE;;86.10Z;PUB_HOPITAL;PUBLIC;Activités hospitalières;167 RUE RAYMOND LOSSERAND 75014 PARIS;75014;PARIS;75;Île-de-France;11;32;32;250 à 499 salariés;499;O;GE;61;2016-08-01;9.919233401779604;48.830257175;2.3112552263;False;8210;"[""750000507""]";[];86.10Z;2026-06-15T15:56:46.015524;90;CHAUDE;499000;99800
35050813100025;350508131;CLINIQUE PAUL DOUMER;;;86.10Z;PUB_HOPITAL;PUBLIC;Activités hospitalières;62 RUE DE LA TOUR 75016 PARIS;75016;PARIS;75;Île-de-France;11;21;21;50 à 99 salariés;99;O;ETI;3;1989-05-20;37.11978097193703;48.86046052;2.2808452022;True;5710;"[""750300881""]";[];86.10Z;2026-06-15T15:56:46.691031;90;CHAUDE;99000;19800
35050813100033;350508131;CLINIQUE PAUL DOUMER;;;86.10Z;PUB_HOPITAL;PUBLIC;Activités hospitalières;36 RUE NICOLO 75016 PARIS;75016;PARIS;75;Île-de-France;11;21;21;50 à 99 salariés;99;N;ETI;3;1996-10-01;29.752224503764545;48.859937249;2.2788234196;False;5710;[];[];86.10Z;2026-06-15T15:56:46.691031;90;CHAUDE;99000;19800
26750045201480;267500452;ASSISTANCE PUBLIQUE HOPITAUX DE PARIS (AP-HP);CLINIQUE DENTAIRE STE-PERINE(AP-HP);AP-HP;86.10Z;PUB_HOPITAL;PUBLIC;Activités hospitalières;49 RUE MIRABEAU 75016 PARIS;75016;PARIS;75;Île-de-France;11;53;53;10000 salariés et plus;10000;N;GE;177;1904-04-04;122.24503764544832;48.846569652;2.2703337206;False;7364;"[""750809576""]";[];86.10Z;2026-06-15T15:56:46.014524;90;CHAUDE;10000000;2000000
31184448400031;311844484;ASSOCIATION LA CHATAIGNERAIE;LA CHATAIGNERAIE CONVENTION;;86.10Z;PUB_HOPITAL;PUBLIC;Activités hospitalières;48 RUE DE LA CONVENTION 75015 PARIS;75015;PARIS;75;Île-de-France;11;21;21;50 à 99 salariés;99;O;PME;3;1991-02-01;35.41683778234086;48.843783599;2.2816145116;False;9220;"[""750825184""]";[];86.10Z;2026-06-15T15:56:46.386940;90;CHAUDE;99000;19800
48026601400152;480266014;VYV3 ILE-DE-FRANCE;RELAIS PARIS SUD;;86.10Z;PUB_HOPITAL;PUBLIC;Activités hospitalières;12 RUE BOYER-BARRET 75014 PARIS;75014;PARIS;75;Île-de-France;11;31;31;200 à 249 salariés;249;O;GE;61;2016-08-01;9.919233401779604;48.832742662;2.3178417292;False;8210;"[""750016859"", ""750044851""]";[];86.10Z;2026-06-15T15:56:46.015524;90;CHAUDE;249000;49800
56209374000016;562093740;CLINIQUE ARAGO;;;86.10Z;PUB_HOPITAL;PUBLIC;Activités hospitalières;95-95 BIS 95 BOULEVARD ARAGO 75014 PARIS;75014;PARIS;75;Île-de-France;11;21;21;50 à 99 salariés;99;N;ETI;3;1956-01-01;70.50239561943874;48.834237882;2.334510817;False;5710;[];[];86.10Z;2026-06-15T15:56:46.386940;90;CHAUDE;99000;19800
56209374000024;562093740;CLINIQUE ARAGO;;;86.10Z;PUB_HOPITAL;PUBLIC;Activités hospitalières;93 BOULEVARD ARAGO 75014 PARIS;75014;PARIS;75;Île-de-France;11;21;21;50 à 99 salariés;99;N;ETI;3;2000-06-01;26.086242299794662;48.834315495;2.3348982325;False;5710;[];[];86.10Z;2026-06-15T15:56:46.386940;90;CHAUDE;99000;19800
57218210300018;572182103;CLINIQUE JOUVENET;;;86.10Z;PUB_HOPITAL;PUBLIC;Activités hospitalières;6 SQUARE JOUVENET 75016 PARIS;75016;PARIS;75;Île-de-France;11;22;22;100 à 199 salariés;199;O;GE;1;1957-01-01;69.5003422313484;48.8424569777011;2.26632769483148;True;5710;"[""750300774""]";[];86.10Z;2026-06-15T15:56:48.375157;90;CHAUDE;199000;39800
77567634900019;775676349;FONDATION L ELAN RETROUVE;;;86.10Z;PUB_HOPITAL;PUBLIC;Activités hospitalières;23 RUE CATHERINE DE LA ROCHEFOUCAULD 75009 PARIS;75009;PARIS;75;Île-de-France;11;22;22;100 à 199 salariés;199;O;ETI;51;1900-01-01;126.4996577686516;48.878698221;2.3342227727;True;9300;"[""750012288"", ""750054553"", ""750170102"", ""940022288""]";[];86.10Z;2026-06-15T15:56:46.015524;90;CHAUDE;199000;39800
