rang_ville;domaine_chruth;code_departement;libelle_commune;nb_prospects;nb_societes;nb_chaude;score_moyen;categories_principales
1457;PUBLIC;91;CHALO-SAINT-MARS;3;1;0;35.0;PUB_MAIRIE, PUB_ECOLE
1458;PRIVE;22;LOUDEAC;2;2;0;35.0;PRIV_SANTE_CENTRE, PRIV_COMMERCE
1459;PRIVE;75;PARIS 1ER ARRONDISSEMENT;2;2;0;35.0;PRIV_BUREAU, PRIV_RESTAURANT
1460;PRIVE;76;LE GRAND-QUEVILLY;2;2;0;35.0;PRIV_RESTAURANT, PRIV_COMMERCE
1461;PUBLIC;77;ANDREZEL;2;1;0;35.0;PUB_MAIRIE, PUB_ECOLE
1462;PUBLIC;77;BEZALLES;2;1;0;35.0;PUB_MAIRIE, PUB_ECOLE
1463;PUBLIC;77;BLENNES;2;1;0;35.0;PUB_MAIRIE, PUB_ECOLE
1464;PUBLIC;77;BREAU;2;1;0;35.0;PUB_MAIRIE
1465;PUBLIC;77;BUSSIERES;2;1;0;35.0;PUB_MAIRIE, PUB_ECOLE
1466;PUBLIC;77;CERNEUX;2;1;0;35.0;PUB_MAIRIE, PUB_ECOLE
1467;PUBLIC;77;CHALAUTRE-LA-PETITE;2;1;0;35.0;PUB_MAIRIE, PUB_ECOLE
1468;PUBLIC;77;CHENOU;2;1;0;35.0;PUB_MAIRIE, PUB_ECOLE
1469;PUBLIC;77;CHEVRAINVILLIERS;2;1;0;35.0;PUB_MAIRIE, PUB_ECOLE
1470;PUBLIC;77;COCHEREL;2;1;0;35.0;PUB_MAIRIE, PUB_ECOLE
1471;PUBLIC;77;COULOMBS-EN-VALOIS;2;1;0;35.0;PUB_MAIRIE, PUB_ECOLE
1472;PUBLIC;77;COURQUETAINE;2;1;0;35.0;PUB_MAIRIE, PUB_ECOLE
1473;PUBLIC;77;DORMELLES;2;1;0;35.0;PUB_MAIRIE, PUB_ECOLE
1474;PUBLIC;77;EVERLY;2;1;0;35.0;PUB_MAIRIE, PUB_ECOLE
1475;PUBLIC;77;FERICY;2;1;0;35.0;PUB_MAIRIE, PUB_ECOLE
1476;PUBLIC;77;FLAGY;2;1;0;35.0;PUB_MAIRIE, PUB_ECOLE
1477;PUBLIC;77;FLEURY-EN-BIERE;2;1;0;35.0;PUB_MAIRIE, PUB_ECOLE
1478;PUBLIC;77;LA TRETOIRE;2;1;0;35.0;PUB_MAIRIE, PUB_ECOLE
1479;PUBLIC;77;LARCHANT;2;1;0;35.0;PUB_MAIRIE, PUB_ECOLE
1480;PUBLIC;77;LE PLESSIS-L'EVEQUE;2;1;0;35.0;PUB_MAIRIE, PUB_ECOLE
1481;PUBLIC;77;LES ECRENNES;2;1;0;35.0;PUB_MAIRIE, PUB_ECOLE
1482;PUBLIC;77;LIZINES;2;1;0;35.0;PUB_MAIRIE, PUB_ECOLE
1483;PUBLIC;77;LOUAN-VILLEGRUIS-FONTAINE;2;1;0;35.0;PUB_MAIRIE, PUB_ECOLE
1484;PUBLIC;77;MERY-SUR-MARNE;2;1;0;35.0;PUB_MAIRIE, PUB_ECOLE
1485;PUBLIC;77;MONTCEAUX-LES-PROVINS;2;1;0;35.0;PUB_MAIRIE, PUB_ECOLE
1486;PUBLIC;77;MOUY-SUR-SEINE;2;1;0;35.0;PUB_MAIRIE, PUB_ECOLE
1487;PUBLIC;77;NANTEAU-SUR-LUNAIN;2;1;0;35.0;PUB_MAIRIE, PUB_ECOLE
1488;PUBLIC;77;NOISY-RUDIGNON;2;1;0;35.0;PUB_MAIRIE, PUB_ECOLE
1489;PUBLIC;77;NONVILLE;2;1;0;35.0;PUB_MAIRIE, PUB_ECOLE
1490;PUBLIC;77;NOYEN-SUR-SEINE;2;1;0;35.0;PUB_MAIRIE, PUB_ECOLE
1491;PUBLIC;77;ORLY-SUR-MORIN;2;1;0;35.0;PUB_MAIRIE, PUB_ECOLE
1492;PUBLIC;77;PALEY;2;1;0;35.0;PUB_MAIRIE, PUB_ECOLE
